jornal,codigo_triado,pertencimento,texto_analise,,,,,
eco,eco_012,entret_parcial,"Todas as nuances envolvidas tornam complexo o enfrentamento dos impactos às mudanças climáticas no contexto dos ecossistemas de manguezal, desde os pontos de vista científico e econômico, assim como da própria estratégia climática com o mercado de carbono azul. Atualmente, existem preocupações com propostas de mercado de carbono por parte dos coletivos e ativistas das comunidades costeiras que dependem do manguezal. Vale ressaltar que foi encaminhada uma solicitação à Carbonext para esclarecimento de informações sobre o processo de negociação inicial que vem acontecendo em 12 Reservas Extrativistas Marinhas localizadas na costa amazônica, mas até o fechamento desta edição não houve nenhum tipo de posicionamento. 

Existem metodologias validadas para calcular o real valor monetário do “mangue em pé” e dos indivíduos arbóreos independentes da fauna conectada. A Verra é talvez uma das certificadoras mais efetivas no processo de mercado de carbono voluntário, com diversas metodologias por tipo de atividade e ecossistema, como as áreas úmidas. Em projetos de mercado de carbono azul geralmente é utilizada a metodologia VM0007 REDD+. Mas, embora essa seja uma das mais empregadas, ainda possui muitas lacunas técnicas, principalmente quando se trata dos diversos matizes dos manguezais amazônicos. 

Não por acaso, pesquisadores apresentam suas preocupações quanto à metodologia e ao nível de risco nos cálculos por compartimentos (lama, árvore de mangue, raízes, serrapilheira) e até por tipo de espécies de mangue, porque não é suficiente analisar os valores nas fórmulas já pré-estabelecidas. É necessária uma avaliação de forma contextualizada para ter valores próximos à realidade, sendo que muitas empresas de “fora” vêm com propostas de implementação de um mercado que ainda é pouco conhecido. 

Além do mercado de carbono, existem outras formas para “capitalizar” as unidades de conservação. Por um lado, essa é vista como uma oportunidade de financiamento para realizar atividades na extensa área do NGI Bragança. Mas, por outro, para os povos do mangue ainda existem muitas lacunas no acesso à informação sobre esse processo. Por exemplo, o próprio Programa Adote um Parque foi lançado “sob olhares de desconfiança”, sendo muito questionado pelos movimentos e ativistas das marés. 

Segundo o chefe do NGI Bragança, o advogado Josiel Barbosa Vasconcelos, do Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio), em 2021 houve interesse da Caixa Econômica Federal para a adoção de duas Resex (Tracuateua e Caeté-Taperaçu). Entretanto, lideranças comunitárias e representantes da Comissão Nacional de Fortalecimento das Reservas Extrativistas, Povos e Comunidades Tradicionais Extrativistas Costeiras e Marinha (Confrem) “interromperam as negociações” com um pedido ao Ministério Público Federal de exclusão das Resex Mar desses arranjos. 

“A gestão do NGI Bragança tenta solucionar legalmente essas dificuldades impostas por algumas lideranças para recolocar as Unidades no Programa, após ampla consulta das populações interessadas, o que pode ajudar muito a gestão das quatro UC, considerando que nenhuma dessas áreas [protegidas] tem apoio de projetos de forma contínua, contando apenas com os escassos recursos orçamentários para o financiamento de todas as suas atividades”, afirma. A adoção das quatro Resex Mar significaria um valor de R$ 7,7 milhões ou mais de 1,5 milhões de euros, anualmente, para a gestão do Núcleo de Bragança. ",,,,,
eco,eco_013,parcial,"Investimentos em restauração ambiental para geração de empregos, entrada do Brasil no mercado de carbono, retomada do protagonismo nacional nas negociações da Convenção Mundial do Clima e o combate ao desmatamento foram as falas mais evidenciadas.",,,,,
eco,eco_014,parcial,"“Nosso compromisso será cumprir, de fato, as metas de redução de emissão de gás carbono que o país assumiu na Conferência de 2015 em Paris e ir além, garantindo a transição energética; a transformação das atividades produtivas para um paradigma de sustentabilidade em suas dimensões ambiental, social e econômica; a recuperação de terras degradadas por atividades predatórias; reflorestamento das áreas devastadas; e um amplo processo de conservação da biodiversidade e dos ecossistemas brasileiros”, diz trecho do documento.

Ao se encontrar com a ex-ministra Marina Silva no início de setembro, após sete anos de ruptura, Lula também afirmou que “todo ministro terá obrigação com o clima”.

O Brasil é o sexto maior emissor de gases estufa do mundo, atrás somente de grandes potências, como China, Estados Unidos, Índia, Rússia e Indonésia. É também a nação com potencial para liderar o mercado emergente de sequestro de carbono, fundamental para que seja atingida a meta de aquecimento global de 1,5º a 2º. 

Na coletiva de imprensa da COP-27 nesta quarta-feira, o embaixador Mohamed Nasr, principal negociador e diretor-geral de Clima, Meio Ambiente e Desenvolvimento Sustentável do Ministério das Relações Exteriores do Egito, disse: “Os compromissos atuais são um piso e não um teto. É necessário mais se quisermos fornecer uma resposta eficaz para proteger as pessoas das mudanças climáticas. A mudança climática não fará uma pausa e nós também não devemos em nossa ambição de enfrentá-la.”

No caso do Brasil, não tem faltado só ambição, mas também vontade. E esse quadro pode mudar no próximo domingo.",,,,,
eco,eco_015,parcial,"Castro fala também de incentivos à economia verde. Promete atrair “fundos de investimento em empresas sustentáveis”, afirmando, sem dados que corroborem a estimativa, que isso poderia “dobrar o PIB” do estado. Também diz que estimulará a negociação de ativos sustentáveis, como créditos de carbono, na Bolsa Rio de Sustentabilidade, bolsa de valores verde ainda a ser implantada com parcerias internacionais.",,,,,
eco,eco_016,parcial,"O Instituto Brasileiro de Proteção Ambiental (Proam) promove, nesta quinta-feira 6, debate virtual preparatório para a COP27, Conferência das Nações Unidas sobre Mudanças Climáticas, que será realizada entre os dias 6 e 8 de novembro em Sharm El Sheikh, Egito. O debate vai analisar o atual estágio de discussões mundial em relação ao aquecimento global e o fracasso em relação às metas definidas no Acordo de Paris, em 2015.

Participam do evento virtual do Proam, entre outros convidados, o ex-embaixador Rubens Barbosa, que participou ativamente das negociações anteriores à Cúpula de Paris como representante do Brasil; o professor da Unicamp Luiz Marques, autor do livro “Capitalismo e Colapso Ambiental”; Fernanda Cavedon, especialista em Direito Ambiental e Migrações Ambientais; Yara Schaeffer-Novelli, especialista em biomas ameaçados, José Rubens Morato Leite, especialista em Direito Ambiental e Mudanças Climáticas; e José Carlos Carvalho, ex-ministro do Meio Ambiente. A mediação será de Carlos Bocuhy, presidente do Proam.

Segundo Bocuhy, “há evidente estado de inadimplência com relação ao atingimento das metas globais de redução de gases efeito estufa previstas no Acordo de Paris de 2015. A conjuntura geopolítica é negativa e tem apontado retrocessos nas políticas de enfrentamento às alterações do clima”. A Conferência COP 27, diz Bocuhy, pretende debater a regulação para o mercado de carbono, com a intenção de promover uma dinâmica econômica que apoie políticas para valoração das florestas globais, essenciais para o equilíbrio climático.

Além disso, a cúpula do Egito deverá apresentar algumas respostas importantes.

A COP 27 resultará em mais mercado do que solução? Quais os prognósticos para os próximos anos? Quais os impactos das mudanças do clima para a sociedade humana, as espécies vidas e os ecossistemas vitais para manter o processo civilizatório?",,,,,
eco,eco_017,parcial,"O programa realiza o pagamento financeiro às famílias moradoras de unidades de conservação do estado como incentivo pela preservação destas áreas; o plano ainda diz que fortalecerá iniciativas de bioeconomia para as comunidades da floresta.  O documento também sinaliza com intenções de criação do marco legal para o mercado de carbono, estabelecendo o programa (de pagamento por desmatamento evitado) REDD+ Amazonas.",,,,,
eco,eco_018,parcial,"A análise foi realizada em cinco regiões do Amapá, em bacias hidrográficas mais importantes do estado, com elevada riqueza em biodiversidade e estratégicas do ponto de vista econômico. 

A fronteira Norte da Amazônia brasileira, com os vizinhos Suriname, Guiana, Guiana Francesa e Venezuela está entre as mais impactadas pelo garimpo ilegal ao longo das últimas décadas. 

No campo das políticas para meio ambiente, Clécio sinaliza em aproveitar toda a cobertura florestal intacta do estado como um ativo econômico, sobretudo por meio de programas de pagamento por serviços ambientais. Ele propõe fazer a inserção do Amapá no mercado de carbono e demais mecanismos de compensação. 

Outro ponto é “ampliar as ações de concessão e de manejo florestal”, e o uso sustentável dos recursos naturais disponíveis dentro das unidades de conservação do estado. Ele ainda defende fortalecer o plano estadual de combate ao desmatamento e às queimadas. 

Entre os nove estados que compõem a Amazônia Legal, o Amapá tem a menor área de floresta desmatada desde 1988, segundo os dados do Instituto Nacional de Pesquisas Espaciais (Inpe). O estado responde por apenas 0,33% da área total desmatada no bioma desde então, o que representa uma área de 1,6 mil km2.",,,,,
eco,eco_019,parcial,"O plano fala também em “apoiar” o mercado de créditos de carbono e incentivar “a pesquisa e desenvolvimento com nióbio, grafeno e sílica” – outro ponto de alinhamento com Bolsonaro. O candidato do PRTB diz ainda que ampliará ações de combate ao desmatamento ilegal e às queimadas, grande problema nos últimos anos, especialmente no Pantanal. O bioma, porém, só é citado na seção de Turismo do documento, sendo tratado como “uma área de atratividade única, e que deve receber do Governo do Estado o tratamento que merece na divulgação de suas potencialidades”. A falta de propostas mais robustas sobre a proteção ao Pantanal tem sido tendência entre os candidatos a governador do estado.",,,,,
eco,eco_020,parcial,"As contradições abrem diálogo, ainda, com empresas que têm interesse em realizar atividades de forma efetivamente ambientalmente responsável, investindo em métodos de manejo ou vislumbrando mercados em franco amadurecimento, como o de venda de carbono. “Existem cada vez mais organizações interessadas em questões em pontos como a rastreabilidade dos produtos, o avanço de práticas ambientalmente restaurativas, refletindo uma mudança que vem ocorrendo por parte do mercado consumirdor,” explica.",,,,,
eco,eco_021,parcial,"O programa realiza o pagamento financeiro às famílias moradoras de unidades de conservação do estado como incentivo pela preservação destas áreas; o plano ainda diz que fortalecerá iniciativas de bioeconomia para as comunidades da floresta.  O documento também sinaliza com intenções de criação do marco legal para o mercado de carbono, estabelecendo o programa (de pagamento por desmatamento evitado) REDD+ Amazonas.",,,,,
eco,eco_022,parcial,"Mercado de Carbono É um mecanismo – ainda não formalmente implementado – através do qual países que ainda não conseguiram atingir suas metas de redução de emissões podem comprar créditos de carbono de países que têm esses créditos sobrando. Nações com grandes áreas florestais, por exemplo, são potenciais “vendedoras” de créditos de carbono.

Crédito de carbono É uma “moeda” do mercado de carbono e representa a não emissão de gases estufa para a atmosfera. Por exemplo: um projeto de preservação de área nativa pode ter sua área precificada, a partir da quantidade de carbono estocado naquela área, por empresas independentes que lidam com esse assunto. Uma tonelada de CO2 corresponde a 1 crédito. ",,,,,
eco,eco_023,parcial,"Apesar das dissonâncias políticas no pleito passado, os governadores se comprometeram com uma agenda voltada para a conservação e desenvolvimento sustentável na região. Eles também aproveitaram a oportunidade para pedir avanços no estabelecimento do programa de serviços ambientais (PSA) e do mercado de crédito de carbono.",,,,,
eco,eco_024,parcial,"A Opep representa o que se combate para solucionar a crise climática global. A sugestão seria fazer algo semelhante com as florestas, um “cartel do bem”, potencializando o mercado de carbono? Cobrar por serviços ambientais?

É preciso refletir sobre a superficialidade da proposta. Quando se comparam florestas com a organização que comercializa o petróleo, o termo produtores é incoerente, já que os países proponentes – Indonésia, República Democrática do Congo e Brasil – têm sido, de forma sistemática, os maiores destruidores das florestas tropicais.

A Indonésia perdeu, só neste século, mais de 25 milhões de hectares de florestas. A região da África subsaariana perdeu 18 milhões de hectares para agricultura. Só o Brasil destrói, todo mês, uma massa florestal próxima ao tamanho da cidade de São Paulo. Em 2021, as três nações somaram uma perda de 11,1 milhões de hectares de cobertura florestal.

Então, como pensar em focar na comercialização de créditos de carbono tendo por base as atuais condições de degradação dessas massas florestais, em intenso desmatamento que ocorre dia após dia, contribuindo para saturar o planeta com gases de efeito estufa (GEE)?

A proposta é também profundamente excludente. Na tentativa de protagonizar no mercado de carbono, atraindo recursos para os que detêm 52% das florestas tropicais, exclui os demais 48% que representam ecossistemas riquíssimos em biodiversidade. A ideia replica a característica ecocêntrica da atual geopolítica excludente, da luta pela hegemonia econômica no cenário global, abandonando a cooperação, o multilateralismo colaborativo entre as nações para que se possa, de fato, proteger o conjunto da biodiversidade planetária.

Faltou diálogo e costura política para a propositura. Os países detentores de florestas tropicais precisam retomar a essência do problema e propor, em coalizão global, a consecução da Convenção sobre Diversidade Biológica, sacralizada a partir das discussões e resoluções da Conferência Rio 92. Essa agenda, assim como a COP27, está em sua 15ª edição.

Recentemente, dados das Nações Unidas apontam perdas de biodiversidade e nos ecossistemas que prejudicarão o progresso de pelo menos 80% das metas de oito dos Objetivos do Desenvolvimento Sustentável. Guterres reforçou a necessidade urgente de uma estrutura de biodiversidade global, com metas claras e mensuráveis e meios robustos de implantação.",,,,,
eco,eco_025,parcial,"Na conclusão do documento sobre o Floresta+, a CGU destaca que “não há nenhum contrato ou projeto de pagamento por serviços ambientais firmado e/ou aprovado no âmbito do programa, assim como ainda não existem cadastros de projetos de serviços ambientais”. Os auditores acrescentam que “a implementação do mercado voluntário de carbono de vegetação nativa encontra-se ainda em fase embrionária, com a contratação de consultoria para realização de estudos”.",,,,,
eco,eco_026,parcial,"“A ideia é mostrar, através de espécies simbólicas como o grovesi, que há outras opções”, avalia o diretor do Primate Specialist Group da IUCN, Russell Mittermeier. “Mostra que desmatar não é a única opção econômica aqui. Você tem a possibilidade do ecoturismo usando primatas e outros animais como símbolos. É difícil competir com a força econômica da destruição, mas a indústria do ecoturismo pode dar outras alternativas e, ao mesmo tempo, proteger a mata, para no futuro ter outras opções como o mercado de carbono”, completa.",,,,,
eco,eco_027,bate_parcial,"Por isso que eu fiz questão de dizer que isso é uma das ferramentas, não é a principal ferramenta, porque eu sei que as comunidades têm razão quando elas fazem a crítica. Pois se você põe todo o foco na questão de crédito de carbono, como faz o governo Bolsonaro, que não discute redução do desmatamento, não discute mudança no padrão da infraestrutura, não discute mudança da energia, aí você coloca a questão do carbono simplesmente no aspecto da dinâmica econômica, só como mais um ciclo econômico sobre o que a natureza tem de disponível. 

Agora, os serviços ambientais, seja de sequestro de carbono ou outros, não devem crescer em prejuízo de um mesmo modelo de desenvolvimento. A principal ferramenta é a mudança do modelo de desenvolvimento e isso não se faz olhando só para dinâmica econômica, mas se faz pressupondo aspectos sociais, culturais, políticos e valores. 

A sustentabilidade não tem só uma maneira de fazer, ela é uma nova visão de mundo para aquilo que chamo de cultura sustentabilista. Alguns serão sustentabilistas conservadores, preocupados em proteger a natureza porque ela faz parte do desenvolvimento sustentável e das dinâmicas de mercado. Outros serão sustentabilistas progressistas, preocupados em reduzir a desigualdade, em preservar as populações tradicionais e originárias, em respeitar a diversidade biológica, a sociobiodiversidade, em criar um novo ciclo de prosperidade. 

Para mim, muito disso é trazer o olhar das comunidades originárias e tradicionais que fazem uso com sabedoria dos recursos naturais. Afinal, elas estão há milhares de anos em áreas naturais vivendo com baixíssimo impacto. Essas comunidades estão em mais de 80% das áreas que são protegidas no mundo, ou seja, elas possuem tecnologias que funcionam e que devem ser consideradas. Quem somos nós para chegar em uma fagulha disso e já dizer que uma ferramenta nossa já é a solução? ",,,,,
